,precision,recall,f1-score,support
basophil,0.967741935483871,0.9,0.9326424870466321,100.0
eosinophil,1.0,0.95,0.9743589743589743,100.0
erythroblast,0.88,0.88,0.88,100.0
ig,0.7610619469026548,0.86,0.8075117370892019,100.0
lymphocyte,0.9186046511627907,0.79,0.8494623655913979,100.0
monocyte,0.8842105263157894,0.84,0.8615384615384616,100.0
neutrophil,0.8508771929824561,0.97,0.9065420560747663,100.0
platelet,0.9230769230769231,0.96,0.9411764705882353,100.0
accuracy,0.89375,0.89375,0.89375,0.89375
macro avg,0.8981966469905607,0.8937499999999999,0.8941540690359586,800.0
weighted avg,0.8981966469905607,0.89375,0.8941540690359588,800.0
